Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
28,55,17,1.0,1.0,0.5,2.9,0.4,0.1
30,34,4,0.4,1.0,0.5,0.8,0.4,0.1
29,64,9,1.2,1.2,1.1,2.3,0.5,0.2
19,2,0,0.0,0.5,0.0,1.5,0.0,0.5
23,9,0,0.2,1.1,0.9,0.8,0.7,0.8
24,57,57,2.3,2.6,0.5,6.5,1.3,0.1
24,4,0,0.8,0.8,0.5,1.3,0.5,0.0
22,65,13,0.7,0.7,0.8,1.2,0.4,0.2
25,72,4,0.8,0.4,0.3,1.9,0.2,0.0
22,61,1,0.1,1.2,2.6,1.4,0.4,0.7
26,74,74,2.9,4.2,0.9,5.6,2.0,0.4
26,57,37,2.1,2.9,0.5,1.5,0.7,0.3
25,38,33,2.0,1.7,0.7,3.0,1.6,0.4
26,9,0,0.4,0.6,0.9,2.9,0.7,0.2
34,79,79,0.9,6.6,0.5,5.3,1.1,0.6
27,54,32,1.5,0.4,0.7,0.8,0.7,0.5
25,55,55,0.0,1.2,3.2,1.6,1.0,0.8
27,78,78,2.6,2.7,0.8,6.4,1.4,0.3
31,47,1,0.5,0.8,0.4,2.5,1.1,0.2
23,75,75,1.2,2.7,1.1,3.8,0.8,0.5
30,80,58,1.7,2.2,0.5,6.1,0.8,0.2
26,56,2,0.6,0.8,0.9,3.6,1.2,0.2
19,55,42,0.0,0.7,2.5,1.1,0.7,1.4
23,6,0,0.2,0.8,0.2,0.8,0.3,0.2
26,76,66,1.1,1.3,1.1,1.0,0.7,0.7
35,24,7,0.6,1.0,0.3,3.3,0.3,0.1
29,73,73,2.7,1.9,0.7,5.2,1.0,1.2
25,42,42,3.3,3.3,0.9,5.5,1.0,0.5
27,68,68,2.2,6.0,0.8,6.9,0.9,0.4
23,68,62,2.4,2.4,0.4,4.1,1.1,0.3
28,23,0,1.1,0.6,0.2,2.1,0.4,0.1
24,4,0,0.3,0.3,0.3,1.0,0.0,0.3
28,72,72,1.8,1.7,0.7,1.7,0.9,0.1
27,82,82,0.4,3.6,3.6,8.2,0.9,0.6
20,33,1,0.1,0.9,1.4,1.1,0.4,0.4
27,55,55,3.3,5.0,0.8,6.1,1.8,0.5
27,81,63,3.5,1.1,0.8,2.7,1.3,0.4
30,68,56,1.7,0.5,1.6,1.6,0.8,0.6
32,64,0,1.5,0.2,0.2,1.1,0.3,0.0
33,55,52,0.9,1.0,1.4,6.0,1.0,0.9
26,75,6,0.0,1.0,1.4,0.8,0.4,0.8
26,9,0,0.8,0.2,0.7,1.6,1.0,0.3
29,68,36,2.8,1.2,0.2,2.8,0.7,0.2
27,68,20,1.3,1.0,1.4,1.0,0.5,0.6
32,63,9,0.0,1.0,1.5,1.3,0.4,0.3
20,61,16,0.7,0.6,1.0,2.7,1.4,0.4
31,43,1,1.8,0.7,0.2,0.8,0.6,0.3
23,8,0,0.0,0.3,0.0,0.1,0.3,0.3
20,15,0,0.7,0.1,0.1,0.7,0.1,0.1
35,68,24,2.2,0.8,0.2,2.0,1.0,0.4
26,43,0,0.3,0.7,0.8,0.8,0.6,0.1
31,32,0,1.0,0.9,0.2,1.5,0.9,0.2
22,50,50,0.4,2.5,2.2,3.2,0.9,1.4
25,5,0,0.2,0.4,0.2,0.8,0.0,0.0
22,72,72,1.3,3.8,1.0,3.7,1.1,0.4
29,73,73,3.1,2.7,0.5,8.1,1.4,0.8
26,35,0,0.4,0.4,0.1,0.7,0.4,0.1
19,48,18,2.1,2.4,1.1,1.2,0.6,0.5
27,11,0,0.3,0.1,0.4,1.9,0.8,0.0
37,27,2,0.4,0.7,0.7,1.0,0.4,0.1
27,66,5,1.3,0.5,0.3,0.6,0.3,0.1
29,54,27,1.4,0.6,0.4,1.6,0.9,0.3
31,44,0,0.5,0.3,1.0,1.1,0.9,0.4
25,71,41,2.5,1.0,0.4,1.7,1.1,0.1
30,82,10,1.8,0.6,0.3,1.2,0.4,0.2
29,73,73,0.5,7.0,2.7,6.5,1.2,1.1
24,62,33,0.0,0.9,1.8,1.3,0.5,1.2
33,51,28,0.7,1.7,0.7,3.1,0.8,0.3
