Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
19,12,0,0.1,1.0,0.7,0.8,0.6,0.3
28,66,43,2.0,0.8,1.0,1.5,0.7,0.3
26,38,5,0.4,0.3,0.3,2.2,0.6,0.1
30,76,52,1.6,2.2,0.4,4.7,0.7,0.3
24,24,2,1.0,1.2,0.3,0.5,0.3,0.3
35,74,74,4.8,4.0,0.5,5.1,0.7,0.4
26,41,2,1.0,0.1,0.3,0.9,0.3,0.0
31,71,4,0.3,0.7,0.5,5.5,1.0,0.1
30,11,0,0.2,0.3,0.5,0.8,0.4,0.1
38,20,1,0.1,0.1,0.6,0.6,0.2,0.4
23,51,11,1.2,1.7,0.4,3.5,0.9,0.4
22,22,0,0.8,1.0,2.1,1.2,1.4,0.9
29,78,49,1.8,0.6,0.3,1.5,0.7,0.4
20,40,23,1.3,0.6,1.2,0.8,0.7,0.8
25,4,0,0.3,0.3,1.0,1.3,0.5,0.0
27,75,71,0.9,1.1,1.2,1.6,0.6,0.2
21,16,0,0.8,0.2,0.0,0.8,0.5,0.0
29,61,60,2.4,2.8,0.6,5.6,1.0,0.3
24,31,0,0.1,0.1,0.5,0.3,0.2,0.1
35,33,6,0.0,0.2,1.4,1.7,0.7,0.2
31,34,0,0.0,0.0,0.2,0.5,0.2,0.1
26,38,4,0.1,1.1,1.1,0.6,0.3,0.4
22,17,1,0.3,0.8,0.2,1.6,0.4,0.0
31,79,12,2.7,1.8,0.3,1.8,0.5,0.1
24,5,0,0.0,0.2,0.8,1.0,0.8,0.0
31,70,70,1.3,2.7,1.1,3.1,1.0,0.7
33,53,14,1.1,0.5,1.3,1.1,0.6,0.4
22,17,8,0.7,1.0,1.1,0.9,0.4,0.3
23,70,49,0.8,1.1,2.0,1.2,0.9,0.5
25,54,54,3.2,6.4,0.4,10.8,1.3,0.2
23,68,16,0.0,1.1,2.0,1.2,0.4,1.1
24,77,48,0.8,1.3,0.8,6.2,1.0,0.1
22,41,28,1.1,1.1,0.5,4.0,1.2,0.1
23,63,2,0.4,1.2,0.8,1.3,0.4,0.3
25,38,0,0.1,0.3,0.3,2.4,0.3,0.1
26,14,0,0.2,0.6,0.2,1.3,0.5,0.4
28,58,0,1.4,0.8,1.1,1.2,0.3,0.3
23,57,23,3.0,2.2,0.7,2.2,0.9,0.5
32,49,0,0.0,0.3,1.5,1.0,0.2,0.3
20,10,4,1.0,1.7,0.6,1.3,0.5,0.7
24,59,15,0.8,0.5,0.4,1.0,0.4,0.1
24,42,40,3.1,2.3,0.5,4.5,0.7,0.1
23,69,68,2.8,2.8,0.5,10.9,1.2,0.7
23,70,70,3.0,4.7,0.5,6.2,1.0,0.5
27,66,66,1.6,0.5,0.3,7.3,1.1,0.3
21,6,0,0.0,0.2,0.5,0.2,0.2,0.5
30,60,21,0.7,1.0,0.2,4.4,0.5,0.1
20,71,71,1.8,4.1,2.3,3.9,1.2,3.6
23,52,33,1.5,2.0,1.1,3.4,0.9,0.7
23,22,14,1.3,0.2,0.5,2.3,0.6,0.3
22,64,22,0.1,0.9,2.6,0.9,0.5,2.4
24,55,48,1.2,1.7,2.0,1.7,0.6,0.5
26,5,0,0.2,0.0,1.4,0.6,0.4,0.4
37,36,3,0.7,0.5,0.3,0.6,0.4,0.3
29,14,1,0.1,0.1,0.6,1.5,0.2,0.2
25,54,15,0.4,0.4,1.3,1.4,0.9,0.8
29,34,0,0.7,0.3,0.3,0.4,0.4,0.2
26,69,29,0.8,1.8,1.7,2.8,0.5,0.8
28,25,23,2.4,3.5,0.3,3.9,0.8,0.3
26,7,0,0.7,0.4,0.6,3.6,1.0,0.4
23,58,0,0.1,0.7,1.1,0.6,0.3,0.7
22,51,15,1.1,1.2,0.7,1.5,0.7,0.2
23,70,70,0.1,5.0,1.7,5.0,1.1,0.7
